Designator,Footprint,Quantity,Value,LCSC Part #
BT1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Battery,C265016
"C1, C22",0402,2,4.7uF,C1779
"C11, C2, C3, C4",0402,4,10uF,C15525
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D2, D25, D26, D27, D3, D4, D5, D6, D7, D8, D9",Diode_SOD-123,21,D,C81598
D28,D_SOD-123,1,MBR0540,C77337
D29,0805,1,Orange,C434437
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,C67380
Q1,SOT-23,1,AO3401A,C306862
"R1, R2",0402,2,27,C25100
R11,0402,1,2k,C17604
R12,0402,1,0.47k,C17710
"R3, R4",0402,2,5k1,C25905
R7,0402,1,10k,C17414
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW2, SW25, SW26, SW27, SW3, SW4, SW5, SW6, SW7, SW8, SW9",CPG1316S01D02_kailhspecsheet_mikefive,21,SW_Push_3pin_GND,
U1,Raytac_MDBT50Q,1,MDBT50Q-1MV2,
U2,SOT-23-5,1,MCP73831-2-OT,C14879
U4,SOT-23-6,1,USBLC6-2SC6,C5180249
